subjectID,wave,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV192,2,0,0.7,0,0,0,0,0,0,0
DEV193,2,0,0,0,0,0,0,1.1,0,0
DEV194,2,0,0,0,0,0,0,0,0,0
DEV195,2,0,0,0,3.5,6.1,0,0,0,0
DEV196,2,2.1,2.8,0,0.7,2.4,0,0,1.1,0
DEV197,2,0,0.7,1.4,0,1.4,4.3,0,0,1.1
DEV198,2,7.1,9.2,9.9,6.4,0.9,3.2,0,1.1,0
DEV199,2,0,0,0,0,0.5,0,0,0,0
DEV200,2,2.1,0,4.3,1.4,0.9,0,0,0,1.1
DEV201,2,8.5,2.1,10.6,4.3,4.7,7.5,6.5,4.3,8.6
DEV203,2,4.3,0.7,1.4,2.8,6.1,1.1,1.1,2.2,2.2
DEV204,2,0.7,1.4,2.8,0.7,0.9,2.2,0,0,0
DEV205,2,0,0,0,0,0,0,0,0,0
DEV206,2,0.7,0,0.7,0,0,0,0,0,0
DEV207,2,0,0,0.7,0,NA,0,0,1.1,1.1
DEV208,2,0,0,0,0,0,1.1,0,2.2,0
DEV209,2,0,0,1.4,7.1,0,0,0,0,0
DEV210,2,0.7,0,1.4,1.4,0.5,0,0,0,0
DEV211,2,0,0,0,0,0,0,0,0,0
DEV215,2,0,0,0.7,0,0,0,1.1,0,1.1
DEV216,2,0,2.1,2.8,0,1.4,0,0,0,0
DEV217,2,0,0,0,0,0,0,0,0,0
DEV218,2,0,0,0.7,0,0.5,1.1,0,1.1,0
DEV219,2,0,0.7,0.7,2.1,0.5,2.2,1.1,3.2,1.1
DEV220,2,0,0,0,0,0,1.1,4.3,0,0
DEV222,2,0,0,0,0,0,2.2,0,0,0
DEV223,2,2.8,2.1,0.7,1.4,4.2,2.2,2.2,2.2,NA
DEV224,2,0,0,0,0,0,0,0,0,0
DEV225,2,0,0,1.4,2.1,0,2.2,0,0,0
DEV228,2,0,0,0,0,0,1.1,0,0,0
DEV230,2,0,0,0,0,0,0,0,0,0
DEV231,2,2.8,1.4,1.4,0,0,0,0,0,0
DEV232,2,0.7,0.7,1.4,0,0,0,2.2,0,0
DEV233,2,2.8,0,0,0,0,0,2.2,0,0
DEV234,2,0,0.7,0,2.1,0,0,0,0,0
DEV235,2,0,0,0,0,0,0,0,2.2,0
DEV236,2,0,0,0,0,0,0,0,0,0
DEV237,2,0,0,1.4,1.4,0,2.2,0,NA,0
DEV238,2,0,0,0,0,0,0,0,0,0
DEV239,2,0,0,1.4,0,0.9,0,0,0,0
DEV240,2,0.7,0,0,0,0,0,0,0,0
DEV241,2,0.7,0,0.7,2.8,2.8,2.2,2.2,7.5,4.3
DEV243,2,2.1,0.7,0,1.4,0.9,0,4.3,0,2.2
DEV244,2,0,0,0,0,0,0,0,0,0
DEV246,2,0,0,0.7,0,0,0,2.2,0,0
DEV247,2,0,0,0,0,0.5,0,0,0,0
DEV249,2,0.7,1.4,0,0,0,2.2,1.1,2.2,1.1
DEV250,2,0,0,9.2,0.7,0.9,0,0,0,0
DEV251,2,0,0,0,0,0,0,0,0,0
DEV252,2,1.4,3.5,2.8,3.5,0,0,3.2,1.1,0
DEV254,2,0,0.7,0,0,0,1.1,1.1,1.1,0
DEV255,2,5,4.3,15.6,2.1,0,3.2,6.5,3.2,7.5
DEV256,2,0.7,0.7,0,0.7,0.9,0,0,0,0
DEV257,2,1.4,1.4,0.7,0.7,0,0,0,0,0
DEV258,2,0,0,0,0,0,0,0,0,0
DEV259,2,0,0,0,0,0,0,0,0,0
DEV260,2,0,0,0,1.4,0.9,0,0,5.4,2.2
DEV261,2,6.4,0,1.4,3.5,0,1.1,0,0,1.1
DEV262,2,0.7,0,0,0,0,0,0,0,0
DEV263,2,2.1,2.1,2.8,1.4,3.3,3.2,1.1,0,0
DEV264,2,0,0,0,0,0,0,0,0,0
DEV265,2,0,0.7,0,0,0.9,2.2,1.1,0,1.1
DEV266,2,9.2,5,3.5,7.1,0.9,6.5,11.8,7.5,8.6
DEV267,2,1.4,2.1,0,1.4,0.5,0,1.1,0,4.3
DEV268,2,2.1,0.7,0.7,2.8,0,0,0,2.2,0
DEV269,2,0,4.3,0.7,0.7,3.3,0,1.1,0,0
DEV270,2,0,0,1.4,0.7,0,0,1.1,0,0
DEV271,2,0,0,1.4,2.1,0,2.2,0,0,2.2
DEV272,2,7.8,9.2,6.4,11.3,0,4.3,5.4,0,4.3
DEV273,2,12.8,10.6,16.3,14.9,0,6.5,1.1,3.2,5.4
DEV274,2,0,7.8,10.6,4.3,6.6,0,0,4.3,7.5
DEV275,2,5,1.4,0,3.5,0.9,1.1,1.1,2.2,0
DEV276,2,0,0.7,0.7,0,0.9,0,0,0,0
DEV277,2,0,0,0,0,1.4,5.4,0,6.5,4.3
DEV281,2,8.5,4.3,4.3,1.4,0.5,3.2,2.2,4.3,4.3
DEV282,2,0,0,0,1.4,0,0,5.4,1.1,7.5
DEV283,2,0.7,0,0.7,11.3,0.9,5.4,9.7,3.2,2.2
DEV284,2,14.2,6.4,5.7,5.7,3.3,4.3,0,8.6,1.1
DEV285,2,0,0,0,0,0,0,0,0,0
DEV286,2,2.8,2.8,3.5,4.3,0,0,0,0,2.2
DEV290,2,0,0,0,0,0,0,0,0,0
DEV291,2,1.4,5,2.1,4.3,3.8,0,1.1,1.1,5.4
DEV292,2,7.8,2.8,7.8,16.3,0.9,4.3,8.6,4.3,0
DEV294,2,0,0,2.1,1.4,4.7,1.1,1.1,2.2,4.3
DEV295,2,11.3,27.7,5,7.8,2.8,5.4,19.4,14,11.8
DEV296,2,0,1.4,0.7,2.1,0,0,0,0,0
DEV297,2,1.4,1.4,0.7,0,1.4,0,0,0,1.1
DEV298,2,0,1.4,5,0,0,0,0,0,0
DEV299,2,0.7,0,0,2.8,0,5.4,1.1,1.1,0
DEV300,2,0,0,0.7,0,0,0,0,0,1.1
DEV301,2,1.4,1.4,0.7,2.1,0,2.2,0,0,3.2
DEV302,2,0.7,0,0,0,0,0,0,0,0
DEV303,2,0,0,0,0,0,0,0,0,0
DEV304,2,1.4,0.7,2.1,4.3,0.5,2.2,4.3,1.1,1.1
DEV305,2,0,0,0,0,0,0,0,0,0
DEV306,2,0,0,9.9,0,0.9,4.3,10.8,1.1,0
DEV307,2,0,0.7,0,0,0,0,0,1.1,0
DEV308,2,0,0,0,0.7,0,0,1.1,3.2,0
DEV309,2,1.4,11.3,12.1,0.7,0,0,0,6.5,6.5
DEV310,2,2.1,5.7,2.8,1.4,2.8,4.3,2.2,3.2,3.2
DEV311,2,0,0,0,0,0,0,0,0,0
DEV312,2,2.8,2.1,2.8,0,1.4,0,2.2,0,0
