subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV274,2,TRUE,NA,NA,10.6,NA,NA,NA,NA,NA,NA
DEV275,2,FALSE,5,1.4,0,3.5,0.9,1.1,1.1,2.2,0
DEV276,2,FALSE,0,0.7,0.7,0,0.9,0,0,0,0
DEV277,2,FALSE,0,0,0,0,1.4,5.4,0,6.5,4.3
DEV281,2,FALSE,8.5,4.3,4.3,1.4,0.5,3.2,2.2,4.3,4.3
DEV282,2,FALSE,0,0,0,1.4,0,0,5.4,1.1,7.5
DEV283,2,FALSE,0.7,0,0.7,NA,0.9,5.4,9.7,3.2,2.2
DEV283,2,TRUE,NA,NA,NA,11.3,NA,NA,NA,NA,NA
DEV284,2,FALSE,NA,6.4,5.7,5.7,3.3,4.3,0,8.6,1.1
DEV284,2,TRUE,14.2,NA,NA,NA,NA,NA,NA,NA,NA
DEV285,2,FALSE,0,0,0,0,0,0,0,0,0
DEV286,2,FALSE,2.8,2.8,3.5,4.3,0,0,0,0,2.2
DEV290,2,FALSE,0,0,0,0,0,0,0,0,0
DEV291,2,FALSE,1.4,5,2.1,4.3,3.8,0,1.1,1.1,5.4
DEV292,2,FALSE,7.8,2.8,7.8,NA,0.9,4.3,8.6,4.3,0
DEV292,2,TRUE,NA,NA,NA,16.3,NA,NA,NA,NA,NA
DEV294,2,FALSE,0,0,2.1,1.4,4.7,1.1,1.1,2.2,4.3
DEV295,2,FALSE,NA,NA,5,7.8,2.8,5.4,NA,NA,NA
DEV295,2,TRUE,11.3,27.7,NA,NA,NA,NA,19.4,14,11.8
DEV296,2,FALSE,0,1.4,0.7,2.1,0,0,0,0,0
DEV297,2,FALSE,1.4,1.4,0.7,0,1.4,0,0,0,1.1
DEV298,2,FALSE,0,1.4,5,0,0,0,0,0,0
DEV299,2,FALSE,0.7,0,0,2.8,0,5.4,1.1,1.1,0
DEV300,2,FALSE,0,0,0.7,0,0,0,0,0,1.1
DEV301,2,FALSE,1.4,1.4,0.7,2.1,0,2.2,0,0,3.2
DEV302,2,FALSE,0.7,0,0,0,0,0,0,0,0
DEV303,2,FALSE,0,0,0,0,0,0,0,0,0
DEV304,2,FALSE,1.4,0.7,2.1,4.3,0.5,2.2,4.3,1.1,1.1
DEV305,2,FALSE,0,0,0,0,0,0,0,0,0
DEV306,2,FALSE,0,0,9.9,0,0.9,4.3,NA,1.1,0
DEV306,2,TRUE,NA,NA,NA,NA,NA,NA,10.8,NA,NA
DEV307,2,FALSE,0,0.7,0,0,0,0,0,1.1,0
DEV308,2,FALSE,0,0,0,0.7,0,0,1.1,3.2,0
DEV309,2,FALSE,1.4,NA,NA,0.7,0,0,0,6.5,6.5
DEV309,2,TRUE,NA,11.3,12.1,NA,NA,NA,NA,NA,NA
DEV310,2,FALSE,2.1,5.7,2.8,1.4,2.8,4.3,2.2,3.2,3.2
DEV311,2,FALSE,0,0,0,0,0,0,0,0,0
DEV312,2,FALSE,2.8,2.1,2.8,0,1.4,0,2.2,0,0
